ontology_area_id,atlas_id,axis,atlas_label,normalized_label,side,lobe_or_group,hosts,taro_present,runtime_scope,wiki_target_slug,coverage_class,scope_reason,duplicate_status,canonical_slug,evidence_source,review_status,reviewed_at
dkt:superiorfrontal:r,dkt,macro,superiorfrontal · R,superiorfrontal,R,frontal,superior-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:insula:l,dkt,macro,insula · L,insula,L,insula,insula-combined,true,taro,insula,direct_article,machine_match_current_worktree,needs_manual_review,insula,ontology+wiki_frontmatter,machine_unreviewed,
dkt:insula:r,dkt,macro,insula · R,insula,R,insula,insula-combined,true,taro,insula,direct_article,machine_match_current_worktree,needs_manual_review,insula,ontology+wiki_frontmatter,machine_unreviewed,
dkt:caudalanteriorcingulate:l,dkt,macro,caudalanteriorcingulate · L,caudalanteriorcingulate,L,limbic,cingulate-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:caudalanteriorcingulate:r,dkt,macro,caudalanteriorcingulate · R,caudalanteriorcingulate,R,limbic,cingulate-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:isthmuscingulate:l,dkt,macro,isthmuscingulate · L,isthmuscingulate,L,limbic,cingulate-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:isthmuscingulate:r,dkt,macro,isthmuscingulate · R,isthmuscingulate,R,limbic,cingulate-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:posteriorcingulate:l,dkt,macro,posteriorcingulate · L,posteriorcingulate,L,limbic,cingulate-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:posteriorcingulate:r,dkt,macro,posteriorcingulate · R,posteriorcingulate,R,limbic,cingulate-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:rostralanteriorcingulate:l,dkt,macro,rostralanteriorcingulate · L,rostralanteriorcingulate,L,limbic,cingulate-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:rostralanteriorcingulate:r,dkt,macro,rostralanteriorcingulate · R,rostralanteriorcingulate,R,limbic,cingulate-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:cuneus:l,dkt,macro,cuneus · L,cuneus,L,occipital,cuneus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:cuneus:r,dkt,macro,cuneus · R,cuneus,R,occipital,cuneus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:lateraloccipital:l,dkt,macro,lateraloccipital · L,lateraloccipital,L,occipital,lateral-occipital-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:lateraloccipital:r,dkt,macro,lateraloccipital · R,lateraloccipital,R,occipital,lateral-occipital-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:lingual:l,dkt,macro,lingual · L,lingual,L,occipital,lingual-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:lingual:r,dkt,macro,lingual · R,lingual,R,occipital,lingual-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:pericalcarine:l,dkt,macro,pericalcarine · L,pericalcarine,L,occipital,,false,fsaverage,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:pericalcarine:r,dkt,macro,pericalcarine · R,pericalcarine,R,occipital,,false,fsaverage,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:inferiorparietal:l,dkt,macro,inferiorparietal · L,inferiorparietal,L,parietal,ipl-combined,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:inferiorparietal:r,dkt,macro,inferiorparietal · R,inferiorparietal,R,parietal,ipl-combined,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:postcentral:l,dkt,macro,postcentral · L,postcentral,L,parietal,postcentral-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:postcentral:r,dkt,macro,postcentral · R,postcentral,R,parietal,postcentral-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:precuneus:l,dkt,macro,precuneus · L,precuneus,L,parietal,precuneus,true,taro,praecuneus,direct_article,machine_match_current_worktree,needs_manual_review,praecuneus,ontology+wiki_frontmatter,machine_unreviewed,
dkt:precuneus:r,dkt,macro,precuneus · R,precuneus,R,parietal,precuneus,true,taro,praecuneus,direct_article,machine_match_current_worktree,needs_manual_review,praecuneus,ontology+wiki_frontmatter,machine_unreviewed,
dkt:superiorparietal:l,dkt,macro,superiorparietal · L,superiorparietal,L,parietal,superior-parietal-lobule,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:superiorparietal:r,dkt,macro,superiorparietal · R,superiorparietal,R,parietal,superior-parietal-lobule,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
